Date,Daily Mean Temperature,Daily Total Rainfall,Daily Total Sunshine,Daily Mean Windspeed,Daily Mean Windspeed (Beaufort),Daily Maximum Gust,Daily Maximum Relative Humidity,Daily Mean Total Cloud,Daily Mean Visibility,Daily Mean Pressure,Daily Mean Wind Direction,Mean Cardinal Direction,Daily Max Gust Direction,Max Cardinal Direction,Station,Year
22/06/1987,13.6,0.8,0,11,Moderate,26,99,8,1000,1022,270,W,270,W,Camborne,1987
23/06/1987,14.4,0.7,1.2,10,Light,20,99,8,1100,1024,270,W,270,W,Camborne,1987
24/06/1987,14.3,tr,2.5,7,Light,15,99,8,400,1023,290,WNW,280,W,Camborne,1987
25/06/1987,14.3,3.2,0.1,8,Light,20,98,8,1300,1018,220,SW,240,WSW,Camborne,1987
26/06/1987,14,10.7,0.6,10,Light,24,100,8,1400,1015,270,W,180,S,Camborne,1987
27/06/1987,15.2,0.4,0,7,Light,15,100,8,200,1016,230,SW,200,SSW,Camborne,1987
28/06/1987,15.8,0.5,0,9,Light,21,100,8,0,1021,190,S,190,S,Camborne,1987
29/06/1987,16.3,0.2,2.3,6,Light,15,99,7,1000,1022,180,S,170,S,Camborne,1987
30/06/1987,14.2,tr,3.1,6,Light,15,96,6,2700,1024,280,W,270,W,Camborne,1987
01/07/1987,12.7,0,13.9,5,Light,12,97,3,3600,1025,320,NW,290,WNW,Camborne,1987
02/07/1987,13.4,0,12,4,Light,12,97,3,4300,1026,20,NNE,360,N,Camborne,1987
03/07/1987,15.3,0,15,6,Light,19,91,3,2500,1026,110,ESE,110,ESE,Camborne,1987
04/07/1987,16.6,0,15.4,4,Light,13,73,3,1800,1026,90,E,90,E,Camborne,1987
05/07/1987,17.8,0,15.1,5,Light,15,69,3,1800,1022,70,ENE,90,E,Camborne,1987
06/07/1987,16,0,12.2,6,Light,15,95,3,900,1020,330,NNW,340,NNW,Camborne,1987
07/07/1987,16.1,0,6.5,7,Light,16,95,5,2300,1021,360,N,360,N,Camborne,1987
08/07/1987,15.3,0,15.2,5,Light,13,90,2,4600,1024,350,N,360,N,Camborne,1987
09/07/1987,13.7,0,1.6,4,Light,12,93,6,4900,1025,200,SSW,200,SSW,Camborne,1987
10/07/1987,18.2,0.1,11.8,7,Light,16,93,4,3900,1022,180,S,180,S,Camborne,1987
11/07/1987,16.8,0,9.7,10,Light,19,99,5,2400,1017,290,WNW,290,WNW,Camborne,1987
12/07/1987,16,0,9.7,6,Light,14,94,4,3600,1020,290,WNW,300,WNW,Camborne,1987
13/07/1987,15.7,9.4,11.4,3,Light,9,94,4,2800,1019,350,N,150,SSE,Camborne,1987
14/07/1987,16.7,3,3,3,Light,n/a,98,7,700,1013,290,WNW,NA,#N/A,Camborne,1987
15/07/1987,16.8,5.6,6.4,10,Light,28,97,7,2400,1007,190,S,180,S,Camborne,1987
16/07/1987,15.3,1.4,4.9,6,Light,18,95,6,3500,1003,210,SSW,230,SW,Camborne,1987
17/07/1987,13.9,3.5,4.5,5,Light,n/a,95,7,3000,999,320,NW,330,NNW,Camborne,1987
18/07/1987,14,13.3,6.1,6,Light,n/a,96,7,2600,1002,260,W,260,W,Camborne,1987
19/07/1987,14.3,1.4,1,12,Moderate,28,99,8,1000,1001,310,NW,340,NNW,Camborne,1987
20/07/1987,15.4,tr,12.9,12,Moderate,24,93,4,1000,1015,350,N,350,N,Camborne,1987
21/07/1987,15,tr,5,10,Light,19,97,6,1700,1020,350,N,10,N,Camborne,1987
22/07/1987,15.6,0,6.8,8,Light,20,95,5,900,1021,10,N,20,NNE,Camborne,1987
23/07/1987,15.9,0,5.6,7,Light,17,98,6,600,1022,360,N,360,N,Camborne,1987
24/07/1987,15.1,tr,0.7,8,Light,17,97,7,1100,1023,360,N,10,N,Camborne,1987
25/07/1987,14.9,0,9.6,10,Light,23,88,6,4100,1025,360,N,360,N,Camborne,1987
26/07/1987,15.4,tr,2.9,10,Light,21,97,6,2600,1025,320,NW,280,W,Camborne,1987
27/07/1987,16.6,tr,1.3,12,Moderate,23,98,7,1300,1022,290,WNW,310,NW,Camborne,1987
28/07/1987,16.7,0.1,0.5,10,Light,20,98,7,1600,1021,310,NW,290,WNW,Camborne,1987
29/07/1987,16.5,0,5.9,12,Moderate,25,100,7,1800,1016,330,NNW,280,W,Camborne,1987
30/07/1987,15.8,tr,2.6,11,Moderate,22,96,6,3400,1021,350,N,360,N,Camborne,1987
31/07/1987,16.9,tr,1,11,Moderate,24,100,8,500,1022,290,WNW,290,WNW,Camborne,1987
01/08/1987,16.8,1.1,7.1,12,Moderate,28,98,6,2100,1021,270,W,NA,#N/A,Camborne,1987
02/08/1987,16.7,2.2,4.3,12,Moderate,30,98,8,700,1017,270,W,270,W,Camborne,1987
03/08/1987,15.8,0,8.9,10,Light,26,100,6,2500,1016,260,W,260,W,Camborne,1987
04/08/1987,14.4,0,13.3,6,Light,19,95,4,6300,1023,360,N,10,N,Camborne,1987
05/08/1987,13.9,0,12.9,6,Light,16,89,2,6200,1025,20,NNE,10,N,Camborne,1987
06/08/1987,14,1.8,11.9,7,Light,19,80,4,4700,1018,10,N,10,N,Camborne,1987
07/08/1987,13.8,0,2.2,3,Light,n/a,93,7,3900,1014,350,N,30,NNE,Camborne,1987
08/08/1987,12.6,0.1,0.2,4,Light,13,93,5,3800,1017,340,NNW,340,NNW,Camborne,1987
09/08/1987,14.5,0,9.8,7,Light,18,91,5,2800,1018,320,NW,320,NW,Camborne,1987
10/08/1987,14.2,1.5,12.5,5,Light,16,92,4,4200,1020,200,SSW,270,W,Camborne,1987
11/08/1987,15,4,0,11,Moderate,28,97,8,1500,1017,180,S,180,S,Camborne,1987
12/08/1987,16.1,1,8.8,7,Light,20,99,6,3000,1016,190,S,220,SW,Camborne,1987
13/08/1987,17.8,0.5,1.3,10,Light,23,100,7,1700,1014,210,SSW,220,SW,Camborne,1987
14/08/1987,16,0,11.3,6,Light,15,98,4,4100,1018,270,W,270,W,Camborne,1987
15/08/1987,16.6,0,12.6,4,Light,n/a,98,2,4900,1021,170,S,180,S,Camborne,1987
16/08/1987,16.9,tr,8.9,4,Light,13,95,4,2600,1018,140,SE,360,N,Camborne,1987
17/08/1987,17.9,0.5,8.7,5,Light,17,97,6,2900,1015,290,WNW,290,WNW,Camborne,1987
18/08/1987,17.9,0.2,3.6,7,Light,19,99,7,3100,1018,260,W,280,W,Camborne,1987
19/08/1987,17.9,0.4,1.9,8,Light,20,99,7,1800,1019,170,S,190,S,Camborne,1987
20/08/1987,18.6,tr,4.5,13,Moderate,29,97,7,1300,1015,190,S,180,S,Camborne,1987
21/08/1987,18.9,7.5,0.1,7,Light,19,97,8,1000,1013,180,S,180,S,Camborne,1987
22/08/1987,17.4,0,3.4,5,Light,15,98,7,1900,1010,300,WNW,310,NW,Camborne,1987
23/08/1987,15.6,1.1,12.3,8,Light,21,91,4,4200,1010,350,N,360,N,Camborne,1987
24/08/1987,16,tr,3.2,10,Light,24,90,6,2000,1013,340,NNW,340,NNW,Camborne,1987
25/08/1987,15.9,5.5,11.9,10,Light,26,90,5,3000,1014,320,NW,300,WNW,Camborne,1987
26/08/1987,14.2,2.7,3.4,15,Moderate,31,94,6,3000,1011,350,N,260,W,Camborne,1987
27/08/1987,14.7,0,5.7,13,Moderate,35,87,6,2700,1021,350,N,360,N,Camborne,1987
28/08/1987,13.9,0,8.9,5,Light,16,98,4,3400,1028,280,W,270,W,Camborne,1987
29/08/1987,14.8,tr,9,6,Light,17,94,5,3100,1026,340,NNW,350,N,Camborne,1987
30/08/1987,16.3,0,7.7,9,Light,32,99,4,1200,1022,90,E,90,E,Camborne,1987
31/08/1987,16.5,3.9,3.6,21,Fresh,39,91,5,500,1015,100,E,100,E,Camborne,1987
01/09/1987,16.7,0.2,0,4,Light,n/a,100,8,500,1014,320,NW,110,ESE,Camborne,1987
02/09/1987,17.3,3.5,2.5,6,Light,21,100,8,700,1017,190,S,NA,#N/A,Camborne,1987
03/09/1987,17.6,0.1,7.8,12,Moderate,27,98,6,1600,1013,180,S,180,S,Camborne,1987
04/09/1987,15.4,13.8,8.1,11,Moderate,30,87,6,2700,1017,200,SSW,200,SSW,Camborne,1987
05/09/1987,15.7,0.3,8.9,13,Moderate,78,97,5,2100,1010,270,W,220,SW,Camborne,1987
06/09/1987,15.2,11.8,0,13,Moderate,35,97,7,1800,1015,210,SSW,170,S,Camborne,1987
07/09/1987,15.3,0.2,0.1,3,Light,n/a,98,7,2000,1019,250,WSW,320,NW,Camborne,1987
08/09/1987,13.9,1.8,2.2,2,Light,n/a,99,6,3300,1022,170,S,310,NW,Camborne,1987
